Date,buy GS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,101.34
2004-02-13,0,105.85
2004-02-20,0,106.52
2004-02-27,0,105.87
2004-03-05,0,109.05
2004-03-12,0,104.93
2004-03-19,0,102.66
2004-03-26,0,103.75
2004-04-02,0,105.95
2004-04-09,0,
2004-04-16,0,103.36
2004-04-23,0,100.41
2004-04-30,0,96.75
2004-05-07,0,93.04
2004-05-14,0,94.01
2004-05-21,0,91.74
2004-05-28,0,93.91
2004-06-04,0,91.52
2004-06-11,0,
2004-06-18,0,89.18
2004-06-25,0,94.55
2004-07-02,0,93.61
2004-07-09,0,90.05
2004-07-16,0,87.25
2004-07-23,0,87.55
2004-07-30,0,88.19
2004-08-06,0,84.55
2004-08-13,0,84.25
2004-08-20,0,87.81
2004-08-27,0,90.48
2004-09-03,0,90.20
2004-09-10,0,93.13
2004-09-17,0,92.05
2004-09-24,0,93.48
2004-10-01,0,93.92
2004-10-08,0,94.24
2004-10-15,0,94.16
2004-10-22,0,92.70
2004-10-29,0,98.38
2004-11-05,0,100.85
2004-11-12,0,104.66
2004-11-19,0,103.04
2004-11-26,0,104.84
2004-12-03,0,106.47
2004-12-10,0,109.40
2004-12-17,0,103.75
2004-12-24,0,
2004-12-31,0,104.04
2005-01-07,0,104.78
2005-01-14,0,104.22
2005-01-21,0,103.33
2005-01-28,0,106.12
2005-02-04,0,110.02
2005-02-11,0,112.77
2005-02-18,0,109.00
2005-02-25,0,110.10
2005-03-04,0,111.53
2005-03-11,0,109.55
2005-03-18,0,109.98
2005-03-25,0,
2005-04-01,0,109.30
2005-04-08,0,112.93
2005-04-15,0,106.49
2005-04-22,0,104.19
2005-04-29,0,106.79
2005-05-06,0,104.68
2005-05-13,0,97.82
2005-05-20,0,101.08
2005-05-27,0,95.50
2005-06-03,0,97.30
2005-06-10,0,99.05
2005-06-17,0,103.80
2005-06-24,0,103.67
2005-07-01,0,102.71
2005-07-08,0,105.65
2005-07-15,0,108.50
2005-07-22,0,109.13
2005-07-29,0,107.48
2005-08-05,0,109.70
2005-08-12,0,113.65
2005-08-19,0,111.27
2005-08-26,0,109.75
2005-09-02,0,113.21
2005-09-09,0,116.17
2005-09-16,0,118.40
2005-09-23,0,119.47
2005-09-30,0,121.58
2005-10-07,0,117.57
2005-10-14,0,114.55
2005-10-21,0,118.77
2005-10-28,0,124.56
2005-11-04,0,130.96
2005-11-11,0,130.00
2005-11-18,0,131.58
2005-11-25,0,134.12
2005-12-02,0,131.08
2005-12-09,0,129.66
2005-12-16,0,126.50
2005-12-23,0,128.11
2005-12-30,0,127.71
2006-01-06,0,128.84
2006-01-13,0,133.26
2006-01-20,0,131.44
2006-01-27,89,138.94
2006-02-03,81,142.74
2006-02-10,100,140.81
2006-02-17,0,145.54
2006-02-24,0,144.16
2006-03-03,0,146.00
2006-03-10,0,141.53
2006-03-17,0,150.36
2006-03-24,0,152.17
2006-03-31,0,156.96
2006-04-07,0,161.02
2006-04-14,0,
2006-04-21,0,165.89
2006-04-28,0,160.29
2006-05-05,0,164.39
2006-05-12,0,156.11
2006-05-19,0,149.41
2006-05-26,0,152.94
2006-06-02,0,154.09
2006-06-09,0,149.89
2006-06-16,0,144.00
2006-06-23,68,147.92
2006-06-30,0,150.43
2006-07-07,0,148.51
2006-07-14,0,140.10
2006-07-21,0,142.04
2006-07-28,0,151.72
2006-08-04,67,152.99
2006-08-11,67,151.11
2006-08-18,67,154.68
2006-08-25,67,150.07
2006-09-01,67,149.14
2006-09-08,67,149.80
2006-09-15,0,162.71
2006-09-22,0,167.52
2006-09-29,0,169.17
2006-10-06,0,175.65
2006-10-13,0,183.85
2006-10-20,0,180.40
2006-10-27,0,188.67
2006-11-03,0,187.13
2006-11-10,0,187.06
2006-11-17,0,195.04
2006-11-24,65,201.60
2006-12-01,72,194.50
2006-12-08,57,205.10
2006-12-15,0,199.84
2006-12-22,0,198.09
2006-12-29,0,199.35
2007-01-05,0,199.05
2007-01-12,0,213.99
2007-01-19,0,210.29
2007-01-26,0,213.50
2007-02-02,0,213.43
2007-02-09,0,213.28
2007-02-16,0,216.92
2007-02-23,0,216.50
2007-03-02,0,195.67
2007-03-09,0,201.70
2007-03-16,0,199.00
2007-03-23,0,211.89
2007-03-30,45,206.63
2007-04-06,58,
2007-04-13,60,206.50
2007-04-20,62,220.00
2007-04-27,0,224.28
2007-05-04,0,227.34
2007-05-11,0,227.50
2007-05-18,0,230.34
2007-05-25,0,225.53
2007-06-01,0,230.71
2007-06-08,0,225.06
2007-06-15,0,226.19
2007-06-22,0,222.40
2007-06-29,0,216.75
2007-07-06,0,223.64
2007-07-13,45,222.18
2007-07-20,54,205.94
2007-07-27,45,192.65
2007-08-03,45,179.68
2007-08-10,49,180.50
2007-08-17,49,175.00
2007-08-24,43,179.73
2007-08-31,45,176.01
2007-09-07,46,178.98
2007-09-14,48,190.59
2007-09-21,44,209.98
2007-09-28,39,216.74
2007-10-05,35,228.50
2007-10-12,35,233.56
2007-10-19,35,217.69
2007-10-26,51,235.92
2007-11-02,37,229.60
2007-11-09,37,211.33
2007-11-16,34,225.25
2007-11-23,34,216.48
2007-11-30,52,226.64
2007-12-07,32,217.89
2007-12-14,36,210.67
2007-12-21,56,209.60
2007-12-28,59,211.94
2008-01-04,65,199.93
2008-01-11,71,198.74
2008-01-18,37,187.21
2008-01-25,37,191.37
2008-02-01,31,207.78
2008-02-08,44,187.07
2008-02-15,50,178.41
2008-02-22,36,177.71
2008-02-29,33,169.63
2008-03-07,33,160.07
2008-03-14,35,156.86
2008-03-21,38,
2008-03-28,57,164.45
2008-04-04,38,175.40
2008-04-11,29,167.30
2008-04-18,56,179.93
2008-04-25,39,192.00
2008-05-02,33,200.27
2008-05-09,36,188.09
2008-05-16,45,187.14
2008-05-23,55,172.64
2008-05-30,43,176.41
2008-06-06,60,169.44
2008-06-13,53,178.29
2008-06-20,35,183.77
2008-06-27,33,174.56
2008-07-04,58,
2008-07-11,44,162.48
2008-07-18,66,182.84
2008-07-25,30,178.66
2008-08-01,48,182.00
2008-08-08,42,175.95
2008-08-15,51,163.18
2008-08-22,43,159.81
2008-08-29,31,163.97
2008-09-05,30,163.24
2008-09-12,42,154.21
2008-09-19,53,129.80
2008-09-26,63,137.99
2008-10-03,48,128.00
2008-10-10,28,88.80
2008-10-17,33,114.30
2008-10-24,30,100.40
2008-10-31,47,92.50
2008-11-07,54,77.78
2008-11-14,64,66.73
2008-11-21,46,53.31
2008-11-28,37,78.99
2008-12-05,56,70.72
2008-12-12,42,67.74
2008-12-19,42,80.73
2008-12-26,45,75.97
2009-01-02,38,86.76
2009-01-09,29,83.92
2009-01-16,47,73.05
2009-01-23,44,74.91
2009-01-30,25,80.73
2009-02-06,59,96.57
2009-02-13,42,96.45
2009-02-20,29,84.59
2009-02-27,32,91.08
2009-03-06,35,75.65
2009-03-13,40,98.80
2009-03-20,29,97.32
2009-03-27,33,108.08
2009-04-03,38,119.40
2009-04-10,30,
2009-04-17,43,120.60
2009-04-24,41,121.30
2009-05-01,40,127.08
2009-05-08,33,139.59
2009-05-15,32,134.40
2009-05-22,47,136.35
2009-05-29,40,144.57
2009-06-05,38,149.01
2009-06-12,55,145.64
2009-06-19,53,143.13
2009-06-26,59,146.74
2009-07-03,71,
2009-07-10,62,141.87
2009-07-17,48,156.84
2009-07-24,33,164.72
2009-07-31,50,163.30
2009-08-07,29,163.65
2009-08-14,33,162.73
2009-08-21,37,163.51
2009-08-28,37,164.42
2009-09-04,53,162.97
2009-09-11,44,174.70
2009-09-18,32,183.18
2009-09-25,51,179.50
2009-10-02,49,179.61
2009-10-09,47,189.30
2009-10-16,29,184.37
2009-10-23,53,180.36
2009-10-30,41,170.17
2009-11-06,43,171.78
2009-11-13,40,176.76
2009-11-20,37,170.01
2009-11-27,49,164.16
2009-12-04,36,167.24
2009-12-11,42,166.00
2009-12-18,24,163.19
2009-12-25,54,
2010-01-01,32,
2010-01-08,43,174.31
2010-01-15,42,165.21
2010-01-22,45,154.12
2010-01-29,23,148.72
2010-02-05,35,154.16
2010-02-12,34,153.93
2010-02-19,36,156.18
2010-02-26,36,156.35
2010-03-05,40,167.18
2010-03-12,42,174.96
2010-03-19,30,177.90
2010-03-26,22,172.87
2010-04-02,55,
2010-04-09,28,179.12
2010-04-16,37,160.70
2010-04-23,45,157.40
2010-04-30,30,145.20
2010-05-07,41,142.99
2010-05-14,38,143.23
2010-05-21,40,140.62
2010-05-28,35,144.26
2010-06-04,40,142.25
2010-06-11,33,135.64
2010-06-18,35,138.18
2010-06-25,35,139.66
2010-07-02,33,131.08
2010-07-09,33,138.06
2010-07-16,34,146.17
2010-07-23,41,147.38
2010-07-30,29,150.82
2010-08-06,40,155.18
2010-08-13,23,148.08
2010-08-20,41,148.24
2010-08-27,27,139.75
2010-09-03,20,147.29
2010-09-10,35,150.39
2010-09-17,31,150.98
2010-09-24,22,147.28
2010-10-01,39,147.70
2010-10-08,23,152.66
2010-10-15,22,150.69
2010-10-22,26,157.76
2010-10-29,31,161.13
2010-11-05,37,171.07
2010-11-12,25,165.83
2010-11-19,44,166.67
2010-11-26,47,158.22
2010-12-03,33,162.31
2010-12-10,39,168.47
2010-12-17,29,164.04
2010-12-24,28,
2010-12-31,54,168.16
2011-01-07,29,170.69
2011-01-14,35,175.00
2011-01-21,34,166.20
2011-01-28,31,161.77
2011-02-04,31,164.83
2011-02-11,28,166.66
2011-02-18,34,168.04
2011-02-25,47,165.12
2011-03-04,30,161.00
2011-03-11,25,160.68
2011-03-18,53,159.96
2011-03-25,26,157.97
2011-04-01,28,160.23
2011-04-08,31,160.96
2011-04-15,23,155.13
2011-04-22,23,
2011-04-29,22,151.01
2011-05-06,38,150.10
2011-05-13,25,141.46
2011-05-20,34,134.99
2011-05-27,40,138.66
2011-06-03,33,135.33
2011-06-10,31,135.92
2011-06-17,21,137.23
2011-06-24,30,130.91
2011-07-01,30,136.65
2011-07-08,27,134.08
2011-07-15,36,130.16
2011-07-22,22,135.49
2011-07-29,31,134.97
2011-08-05,32,125.18
2011-08-12,31,116.47
2011-08-19,39,111.76
2011-08-26,37,111.75
2011-09-02,32,107.06
2011-09-09,37,102.25
2011-09-16,19,107.49
2011-09-23,36,95.18
2011-09-30,27,94.55
2011-10-07,25,92.69
2011-10-14,22,96.73
2011-10-21,29,102.09
2011-10-28,31,115.86
2011-11-04,34,105.04
2011-11-11,27,101.66
2011-11-18,23,91.91
2011-11-25,25,88.75
2011-12-02,30,97.25
2011-12-09,26,101.45
2011-12-16,29,90.10
2011-12-23,23,93.79
2011-12-30,37,90.43
2012-01-06,33,93.42
2012-01-13,28,98.96
2012-01-20,37,108.74
2012-01-27,20,111.77
2012-02-03,28,117.53
2012-02-10,24,114.12
2012-02-17,37,115.91
2012-02-24,20,115.87
2012-03-02,31,119.96
2012-03-09,26,117.29
2012-03-16,32,122.93
2012-03-23,33,126.18
2012-03-30,25,124.37
2012-04-06,36,
2012-04-13,30,115.09
2012-04-20,30,112.44
2012-04-27,30,114.41
2012-05-04,34,108.99
2012-05-11,20,102.13
2012-05-18,26,95.49
2012-05-25,27,96.70
2012-06-01,34,92.64
2012-06-08,31,94.54
2012-06-15,29,95.66
2012-06-22,24,93.63
2012-06-29,24,95.86
2012-07-06,30,95.47
2012-07-13,43,97.43
2012-07-20,33,94.16
2012-07-27,31,101.64
2012-08-03,45,100.98
2012-08-10,38,103.02
2012-08-17,58,103.60
2012-08-24,33,104.96
2012-08-31,40,105.72
2012-09-07,40,116.33
2012-09-14,37,121.36
2012-09-21,25,116.72
2012-09-28,25,113.68
2012-10-05,24,119.31
2012-10-12,35,120.20
2012-10-19,24,123.62
2012-10-26,27,119.44
2012-11-02,33,123.25
2012-11-09,31,116.15
2012-11-16,32,115.84
2012-11-23,42,120.31
2012-11-30,39,117.79
2012-12-07,37,116.57
2012-12-14,35,119.36
2012-12-21,38,128.44
2012-12-28,28,125.52
2013-01-04,39,134.51
2013-01-11,30,137.13
2013-01-18,35,144.45
2013-01-25,23,144.46
2013-02-01,31,149.90
2013-02-08,26,151.60
2013-02-15,32,154.99
2013-02-22,34,154.09
2013-03-01,34,150.53
2013-03-08,40,152.98
2013-03-15,41,154.84
2013-03-22,31,146.60
2013-03-29,33,
2013-04-05,23,143.69
2013-04-12,28,149.12
2013-04-19,26,138.72
2013-04-26,27,144.11
2013-05-03,30,145.37
2013-05-10,34,149.10
2013-05-17,33,158.18
2013-05-24,31,158.72
2013-05-31,22,162.08
2013-06-07,37,166.01
2013-06-14,23,162.92
2013-06-21,26,154.25
2013-06-28,25,151.25
2013-07-05,28,153.24
2013-07-12,28,160.11
2013-07-19,25,164.36
2013-07-26,31,165.26
2013-08-02,33,167.62
2013-08-09,33,162.13
2013-08-16,35,160.66
2013-08-23,28,158.65
2013-08-30,31,152.13
2013-09-06,29,156.66
2013-09-13,30,164.00
2013-09-20,24,169.75
2013-09-27,28,159.85
2013-10-04,30,156.55
2013-10-11,24,160.00
2013-10-18,24,158.69
2013-10-25,19,162.09
2013-11-01,29,162.05
2013-11-08,32,163.17
2013-11-15,26,164.40
2013-11-22,39,168.10
2013-11-29,29,168.94
2013-12-06,33,167.21
2013-12-13,39,168.39
2013-12-20,33,175.16
2013-12-27,44,176.35
2014-01-03,32,178.15
2014-01-10,24,178.39
2014-01-17,29,176.28
2014-01-24,30,167.64
2014-01-31,29,164.12
2014-02-07,28,161.93
2014-02-14,25,163.72
2014-02-21,26,164.50
2014-02-28,27,166.45
2014-03-07,30,174.26
2014-03-14,32,165.35
2014-03-21,22,166.95
2014-03-28,31,162.30
2014-04-04,26,163.24
2014-04-11,25,152.72
2014-04-18,28,
2014-04-25,27,158.24
2014-05-02, ,
